candidate_name,education
Vishal Jolly,Graduate Professional
Adinarayana Inty,Post Graduate
Bommi Srihari Rao,Graduate
Challagali Kishore Kumar,Graduate Professional
Chinnam Rama Kotayya,10th Pass
Daggubati Purandeswari,Graduate
Dileep Kilaru,Graduate Professional
Dr Gandi Venkata Satyanarayana Rao,Post Graduate
Dr. Kasi Viswanadha Veera Venkata Satyanarayana Reddy Kosuri,Doctorate
Gudivaka Ramanjaneyulu,Graduate
Hamsa Devineni,Post Graduate
Jayaprakash Narayana Valluru,Graduate Professional
Jayaram Duggani,Graduate
Kanna Lakshmi Narayana,Graduate
Manepalli Ayyaji Vema,Graduate Professional
Mitta Parthasarathi,Graduate
P.V. Parthasarathi,Post Graduate
Paravasthu Satya Gopinath Das,12th Pass
Perla Samba Murthy,Post Graduate
Pydikondala Manikyala Rao,12th Pass
Sannapureddy Suresh Reddy,Graduate
Sanyasi Raju Pakalapati,Graduate
Sri Rama Chandra Singareddy,Graduate
Thoganti Sreenivasulu,Graduate Professional
Yalla Venkata Rama Mohana Rao,Graduate
Kiren Rijiju,Graduate Professional
Tapir Gao,Post Graduate
Horen Sing Bey,Graduate
Kripanath Mallah,Graduate
Pallab Lochan Das,Graduate
Pradan Baruah,12th Pass
Queen Oja,Graduate
Rajdeep Roy,Post Graduate
Rameswar Teli,10th Pass
Shri Dilip Saikia,Graduate
Sri Rupak Sharma,Graduate
Topon Kumar Gogoi,Post Graduate
Ajay Nishad,Graduate
Ashok Kumar Yadav,Doctorate
Ashwini Kumar Choubey,Graduate
Chhedi Paswan,Post Graduate
Dr. Sanjay Jaiswal,Post Graduate
Giriraj Singh,Graduate
Gopaljee Thakur,Post Graduate
Janardan Singh Sigriwal,Graduate
Nityanand Rai,Graduate
Pradeep Kumar Singh,10th Pass
R. K. Singh,Graduate Professional
Radha Mohan Singh,Graduate
Rajiv Pratap Rudy,Post Graduate
Ram Kripal Yadav,Graduate
Rama Devi,Graduate Professional
Ravi Shankar Prasad,Post Graduate
Sushil Kumar Singh,Post Graduate
Kirron Kher,Post Graduate
Arun Sao,Graduate Professional
Baidu Ram Kashyap,10th Pass
Chunni Lal Sahu,Graduate
Gomati,12th Pass
Guharam Ajgalle,Graduate Professional
Jyoti Nand Dubey,10th Pass
Mohan Mandavi,Post Graduate
Renuka Singh Saruta,12th Pass
Santosh Pandey,Graduate Professional
Sunil Kumar Soni,Graduate
Vijay Baghel,Graduate
Patel Natubhai Gomanbhai,5th Pass
Patel Lalubhai Babubhai,8th Pass
Adv Narendra Sawaikar,Graduate Professional
Shripad Yesso Naik,Graduate
Amit Shah,12th Pass
Chauhan Devusinh,Others
Chavda Vinod Lakhamshi,Post Graduate
Chudasama Rajeshbhai Naranbhai,12th Pass
Dabhi Bharatsinhji Shankarji,Graduate
Dr. Solanki Kiritbhai,Post Graduate
Dr.Bharatiben Dhirubhai Shiyal,Graduate Professional
Dr.K.C.Patel,Graduate Professional
Jardosh Darshnaben Vikrambhai,Graduate
Jasvantsinh Sumanbhai Bhabhor,Graduate Professional
Kachhadiya Naranbhai Bhikhabhai,12th Pass
Kundaria Mohanbhai,8th Pass
Mahendrabhai Munjpara,Post Graduate
Mansukhbhai Vasava,Post Graduate
Miteshbhai Patel,Others
Parbatbhai Patel,Graduate Professional
Parbhubhai Nagarbhai Vasava,Others
Patel Hasmukhbhai Somabhai,Others
Patil Chandrakant,10th Pass
Poonamben Hematbhai Maadam,Graduate
Rameshbhai Dhaduk,10th Pass
Ranjanben Bhatt,12th Pass
Ratansinh Rathod,Graduate Professional
Rathod Dipsinh Shankarsinh,8th Pass
Rathva Gitaben Vajesingbhai,12th Pass
Shardaben Anilbhai Patel,12th Pass
Arvind Kumar Sharma,Post Graduate
Brijendra Singh,Post Graduate
Dharambir Singh,Graduate
Krishan Pal,Graduate Professional
Nayab Singh,Graduate Professional
Ramesh Chander Kaushik,Graduate Professional
Rao Inderjit Singh,Graduate Professional
Rattan Lal Kataria,Post Graduate
Sanjay Bhatia,Graduate
Sunita Duggal,Post Graduate
Anurag Singh Thakur,Graduate
Kishan Kapoor,12th Pass
Ram Swaroop Sharma,10th Pass
Suresh Kumar Kashyap,Post Graduate
Dr. Jitendra Singh,Post Graduate
Jugal Kishore,10th Pass
Mohd Maqbool War,Graduate
Sheikh Khalid Jehangir,12th Pass
Sofi Yousuf,Illiterate
Tsering Namgyal,Graduate
Annapurna Devi,Post Graduate
Arjun Munda,12th Pass
Bidyut Baran Mahato,12th Pass
Hemlal Murmu,Graduate
Jayant Sinha,Post Graduate
Laxman Giluwa,12th Pass
Nishikant Dubey,Doctorate
Pashupati Nath Singh,Graduate
Sanjay Seth,Graduate Professional
Sudarshan Bhagat,Graduate
Sunil Kumar Singh,Post Graduate
Sunil Soren,12th Pass
Vishnu Dayal Ram,Graduate
A Narayanaswamy,Graduate
Anantkumar Hegde,12th Pass
Angadi Suresh,Graduate Professional
Annasaheb Shankar Jolle,12th Pass
Ashwathnarayangowda,10th Pass
B.N.Bache Gowda,Graduate Professional
B.Y.Raghavendra,Graduate Professional
Bhagwanth Khuba,Graduate Professional
D.V. Sadananda Gowda,Graduate Professional
Dr. Umesh G Jadhav,Post Graduate
G M Siddeshwar,10th Pass
G S Basavaraj,Graduate Professional
Gaddigoudar Parvatagouda Chandanagouda,Graduate Professional
Jigajinagi Ramesh Chandappa,Graduate
Karadi Sanganna Amarappa,10th Pass
Manju A,Graduate Professional
Nalin Kumar Kateel,10th Pass
P. C. Mohan,12th Pass
Pralhad Joshi,Graduate
Prathap Simha,Post Graduate
Raja Amareshwara Naik,Graduate Professional
S. Muniswamy,12th Pass
Shobha Karandlaje,Post Graduate
Tejasvi Surya,Graduate Professional
Udasi. S.C.,12th Pass
V Srinivas Prasad,Post Graduate
Y. Devendrappa,5th Pass
Adv.K.V.Sabu,Post Graduate
Adv.Prakash Babu,Post Graduate
Alphons Kannanthanam,Graduate
C K Padmanabhan,10th Pass
K Surendran,Graduate
Krishnakumar C,Graduate
Kummanam Rajasekharan,Graduate
Radhakrishnan,Graduate
Radhakrishnan,Doctorate
Ravish Thanthri Kuntar,10th Pass
Rema,Post Graduate
Sajeevan V. K,Graduate Professional
Sobha Surendran,Graduate
Suresh Gopi,Post Graduate
Unnikrishnan,Graduate Professional
Gautam Gambhir,12th Pass
Hans Raj Hans,10th Pass
Harsh Vardhan,Post Graduate
Manoj Tiwari,Post Graduate
Meenakashi Lekhi,Graduate Professional
Parvesh Sahib Singh,Post Graduate
Ramesh Bidhuri,Graduate Professional
Anil Firojiya,12th Pass
Chhatar Singh Darbar,Post Graduate
Dr. Dhal Singh Bisen,Others
Durga Das (D.D.) Uikey,Post Graduate
Faggan Singh Kulaste,Post Graduate
Gajendra Umrao Singh Patel,Graduate Professional
Ganesh Singh,Post Graduate
Guman Singh Damor,Graduate Professional
Himadri Singh,Graduate
Janardan Prasad Mishra,Graduate Professional
Krishna Pal Singh,Graduate Professional
Mahendra Singh Solanky,Graduate Professional
Nandkumar Singh Chouhan (Nandu Bhaiya),Post Graduate
Narendra Singh Tomar,Graduate
Nathanshah Kawret,10th Pass
Prahalad Singh Patel,Graduate Professional
Rajbahadur Singh,Post Graduate
Rakesh Singh,Graduate
Ramakant Bhargava,12th Pass
Rao Uday Pratap Singh,Graduate
Riti Pathak,Post Graduate
Rodmal Nagar,Graduate
Sadhvi Pragya Singh Thakur,Post Graduate
Sandhya Ray,Post Graduate
Shankar Lalwani,Graduate Professional
Sudheer Gupta,Post Graduate
Virendra Kumar,Doctorate
Vishnu Datt Sharma,Post Graduate
Vivek Narayan Shejwalkar,Graduate Professional
Ahir Hansraj Gangaramji,10th Pass
Ashok Mahadevrao Nete,12th Pass
Bharti Pawar,Graduate Professional
Chikhalikar Pratap Govindrao,12th Pass
Danve Raosaheb Dadarao,Graduate
Girish Bhalchandra Bapat,Graduate
Gopal Chinnaya Shetty,5th Pass
Heena Vijaykumar Gavit,Post Graduate
Kanchan Rahul Kul,Graduate
Kapil Moreshwar Patil,Graduate
Khadse Raksha Nikhil,Graduate
Manoj Kishorbhai Kotak,10th Pass
Nitin Jairam Gadkari,Graduate Professional
Poonam Vajendla Rao,Others
Pritam Gopinathrao Munde,Post Graduate
Ramdas Chandrabhanji Tadas,10th Pass
Ranjeetsinha Hindurao Naik Nimbalkar,12th Pass
Sanjay Shamrao Dhotre,Graduate Professional
Sanjaykaka Patil,10th Pass
Shri. Sha. Bra. Dr. Jay Siddeshwar Shivachrya Mahaswamiji,Graduate
Subhash Ramrao Bhamre,Post Graduate
Sudhakar Tukaram Shrangare,10th Pass
Sujay Radhakrishna Vikhe,Doctorate
Sunil Baburao Mendhe,Others
Unmesh Bhaiyyasaheb Patil,Graduate Professional
Dr Rajkumar Ranjan Singh,Doctorate
Houlim Shokhopao Mate,12th Pass
Rikman Garrey Momin,Others
Sanbor Shullai,10th Pass
Nirupam Chakma,Graduate Professional
Abdul Khader Haji,5th Pass
Amiya Kanta Mallick,10th Pass
Ananta Nayak,12th Pass
Anita Subhadarshini,Post Graduate
Aparajita Sarangi,Graduate
Avimanyu Sethi,Post Graduate
Baijayant Panda,Graduate Professional
Balabhadra Majhi,Graduate
Basanta Kumar Panda,12th Pass
Bhrugu Baxipatra,Graduate Professional
Bibhu Prasad Tarai,Post Graduate
Bishweswar Tudu,10th Pass
Jayaram Pangi,10th Pass
Jual Oram,Others
Mahameghabahan Aira Kharabela Swain,Post Graduate
Nitesh Ganga Deb,12th Pass
Prakash Mishra,Post Graduate
Pratap Chandra Sarangi,Graduate
Rudranarayan Pany,Graduate
Sambit Patra,Post Graduate
Smt. Sangeeta Kumari Singh Deo,Graduate
Suresh Pujari,Post Graduate
Ajay Singh Dharmendra Deol (Sunny Deol),Others
Hardeep Singh Puri,Post Graduate
Som Parkash,Post Graduate
Arjun Ram Meghwal,Post Graduate
Arjunlal Meena,Post Graduate
Bhagirath Chaudhary,12th Pass
Chandra Prakash,Graduate
Col. Rajyavardhan Rathore,Graduate
Devaji Patel,10th Pass
Diya Kumari,Others
Dushyant,Post Graduate
Gajendra Singh Shekhawat,Post Graduate
Jaskaur Meena,Post Graduate
Kailash Choudhary,Graduate
Kanakmal Katara,Graduate Professional
Mahant Balak Nath,10th Pass
Manoj Rajoria,Post Graduate
Narendra Kumar,Graduate
Nihal Chand,Graduate
Om Birla,Post Graduate
P. P. Chaudhary,Graduate Professional
Rahul Kaswan,Graduate
Ram Charan Bohra,12th Pass
Ranjeeta Kumari,8th Pass
Subhash Chandra Baheria,Graduate
Sukhbir Singh Jaunapuria,12th Pass
Sumedhanand Saraswati,Post Graduate
Laten Sherpa,5th Pass
C P Radhakrishnan,Graduate Professional
Dr. Tamilisai Soundararajan,Graduate Professional
H.Raja,Graduate Professional
Nainar Nagenthran,Post Graduate
P. Radhakrishnan,Graduate Professional
Pratima Bhoumik,Graduate
Rebati Tripura,Post Graduate
Ajay Kumar,Graduate Professional
Akshayabar Lal,10th Pass
Anurag Sharma,Post Graduate
Arun Kumar Sagar,12th Pass
Ashok Kumar,Post Graduate
Upendra Singh Rawat,Post Graduate
Vijay Kumar Dubey,12th Pass
Vijay Kumar Singh,Doctorate
Vinod Kumar Sonkar,Graduate
Virendra Singh,Graduate
Yashwant Singh,Post Graduate
Bhanu Pratap Singh,Post Graduate
Bhola Singh,Graduate
Bholanath (B.P. Saroj),Graduate
Brij Bhushan Sharan Singh,Graduate Professional
Daddan Mishra,Post Graduate
Dharmendra Kumar,10th Pass
Dinesh Lal Yadav Nirahua,12th Pass
Dinesh Pratap Singh,Graduate
Dr Ram Shankar Katheria,Doctorate
Dr. Chandra Sen Jadon,Graduate Professional
Dr. Mahendra Nath Pandey,Doctorate
Dr. Mahesh Sharma,Graduate Professional
Dr. Satyapal Singh,Doctorate
Feroze Varun Gandhi,Post Graduate
Harinarayan,Literate
Harish Chandra Alias Harish Dwivedi,Post Graduate
Hema Malini Dharmendra Deol,Doctorate
Jagdambika Pal,Post Graduate
Jai Prakash,Graduate
Jayaprada Nahata,12th Pass
Kamlesh Paswan,Graduate
Kanwar Singh Tanwar,8th Pass
Kaushal Kishore,Graduate
Keshari Devi Patel,Post Graduate
Kirti Vardhan Singh Alias Raja Bhaiya,Post Graduate
Krishna Pratap Singh,Doctorate
Kunwar Pushpendra Singh,Post Graduate
Kunwar Sarvesh Kumar,10th Pass
Lallu Singh,Post Graduate
Maneka Sanjay Gandhi,12th Pass
Manoj Sinha,Graduate Professional
Mukesh Rajput,Graduate
Mukut Bihari,Graduate Professional
Narendra Modi,Post Graduate
Neelam Sonker,Post Graduate
Pankaj Choudhary,12th Pass
Parameshvar Lal,10th Pass
Pradeep Kumar,Post Graduate
Praveen Kumar Nishad,Graduate Professional
Prem Singh Shakya,Others
R.K. Singh Patel,Graduate
Raghav Lakhanpal,Post Graduate
Raja Bhartendra Singh,Graduate
Rajendra Agarwal,Post Graduate
Rajesh Verma,Post Graduate
Rajkumar Chahar,Graduate
Rajnath Singh,Post Graduate
Rajveer Singh,Graduate Professional
Rajvir Diler,12th Pass
Ramapati Ram Tripathi,Graduate Professional
Ramesh Chand,10th Pass
Ravinder,12th Pass
Ravindra Shyamnarayan Shukla Alias Ravi Kishan,12th Pass
Rekha Verma,12th Pass
Rita Bahuguna Joshi,Doctorate
Sadhvi Niranjan Jyoti,12th Pass
Sangam Lal Gupta,8th Pass
Sangh Mitra Maurya,Graduate Professional
Sanjeev Kumar Balyan,Doctorate
Santosh Kumar Gangwar,Graduate Professional
Satish Kumar Gautam,10th Pass
Satyadev Pachauri,Post Graduate
Satyapal Singh Baghel,Doctorate
Smriti Irani,12th Pass
Subrat Pathak,Graduate
Swami Sachchidanand Hari Sakshi,Doctorate
Anupam Hazra,Doctorate
Arjun Singh,10th Pass
Babul Supriya Baral,Graduate
Bharati Ghosh,Post Graduate
Chandra Kumar Bose,Post Graduate
Debasish Samanta,Post Graduate
Debasree Chaudhuri,Post Graduate
Debjit Sarkar,Graduate Professional
Dilip Kumar Ghosh,10th Pass
Dr. Ashok Kandary,Graduate Professional
Dudh Kumar Mondal,Graduate
Humayun Kabir,12th Pass
Jagannath Sarkar,Graduate Professional
Jayanta Kumar Roy,Graduate Professional
John Barla,8th Pass
Joy Banerjee,Graduate
Jyotirmay Singh Mahato,Graduate Professional
Kalyan Chaubey,10th Pass
Khagen Murmu,Graduate
Krishna Joyardar,Graduate
Kunar Hembram,Graduate Professional
Locket Chatterjee,Graduate
Mafuja Khatun,Graduate
Mrinal Kanti Debnath,Graduate Professional
Nilanjan Roy,Post Graduate
Paresh Chandra Das,Post Graduate
Rahul (Biswajit) Sinha,Graduate
Raju Bista,Graduate
Ramprasad Das,Post Graduate
Rantidev Sengupta,Post Graduate
Samik Bhattacharya,Graduate
Saumitra Khan,12th Pass
Sayantan Basu,Post Graduate
Shantanu Thakur,Graduate
Shyama Prasad Halder,Post Graduate
Sidharthasankar Naskar,8th Pass
Sreerupa Mitra Chaudhury,Post Graduate
Sri Nisith Pramanik,8th Pass
Subhas Kumar Sarkar,Graduate Professional
Sukanta Majumdar,Doctorate
Surendrajeet Singh Ahluwalia,Graduate Professional
Tapan Kumar Ray,Post Graduate
Ajay Bhatt,Graduate Professional
Ajay Tamta,12th Pass
Mala Rajya Laxmi Shah,12th Pass
Ramesh Pokhriyal Nishank,Doctorate
Tirath Singh Rawat,Post Graduate
